demand_point_index,x_coordinate,y_coordinate,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,0.5,0.5,0.35224180226893587,0.6679316897870368,0.9585933145036087,2.911900584364206,4.338274222603535,6.561994625836078,8.4544173801017,10.59532421417319,13.119572063684155
1,1.5,0.5,0.3259398810662806,0.5919643578635456,0.862652014405164,2.5890678184616416,4.196033910620566,5.74555093098881,8.753195380143731,11.126994933942642,12.020090866258569
2,2.5,0.5,0.37375233793337825,0.5918899040131291,0.969733146470033,2.6414319730035607,3.541772339641143,5.469160784188192,8.414626658738854,10.115335503273615,14.018253749831027
3,3.5,0.5,0.42068617585594353,0.5840546661865146,0.9065469221558563,2.3785766951909917,3.8881206593922584,5.846089061887669,9.083868223538541,12.424885250090412,15.012302116613935
4,4.5,0.5,0.47562067330808705,0.6479399163860968,0.9815443743851558,2.665399845855353,4.218710639010316,6.776609010853476,8.851107179268856,11.731131166808472,16.355563054111933
5,5.5,0.5,0.38015636092914573,0.725188536159939,1.0760536515520638,2.7626175218626443,4.2207467625179484,6.760394719915997,9.331196288324941,14.743942878230019,17.559997747756107
6,6.5,0.5,0.4493481690725345,0.7304659806685451,1.2204839480200946,2.6551868777041876,5.3335936736186795,8.620496136133662,11.406750762227151,13.115854320399187,19.696415322565677
7,7.5,0.5,0.4700707366344343,0.8664738207606242,1.6154541395344262,3.2730614701824816,5.4428671253902285,8.681283577808378,11.13535201612768,14.708271722077741,19.367417499683693
8,8.5,0.5,0.5373067041355337,0.8336612216383552,1.6226909644980252,3.366533383711712,5.973267185623329,10.033183117222713,13.210567011952607,17.291626332747455,21.899847487139954
9,9.5,0.5,0.4457343704411967,0.7752790766367896,1.3162090588340372,3.7958579301336544,4.781360599663616,9.277640017931681,10.992478552816818,17.386209750235352,21.765241299637
10,10.5,0.5,0.45097418851194326,0.8011379047248836,1.8090612683469878,3.864235561577178,6.008674739017583,9.578958115453252,12.609366213572274,21.9313293234419,22.60469282361016
11,11.5,0.5,0.4509475094683213,0.8782529829577711,1.6131458491959008,3.843269794089616,6.073805219938166,8.801256833166685,13.465387478266113,20.388238283528366,23.919581532591238
12,12.5,0.5,0.4882452853436773,0.9798952959969923,1.6602704468600467,3.8864652444869376,5.9512978479856535,10.206369809788532,12.501408193182185,18.25641491791609,19.594346495304713
