scs,fcs
15,7
12,15
10,19
17,8
25,7
22,6
13,12
26,6
18,11
13,8
13,1
17,4
17,5
18,9
15,15
12,9
8,5
4,3
15,11
9,19
13,10
18,10
13,7
7,17
9,10
17,11
17,14
9,16
16,16
19,9
10,9
22,11
23,11
19,10
17,2
7,1
16,14
8,5
13,7
16,12
14,10
16,5
14,14
16,17
5,10
21,10
14,14
19,2
11,16
15,15
13,15
6,6
19,8
15,17
15,17
12,4
12,17
12,3
10,9
14,8
7,3
7,3
6,25
11,7
7,12
20,12
4,10
19,14
17,10
12,12
3,23
15,20
19,3
20,7
8,3
8,25
8,2
15,14
13,20
21,9
10,15
26,9
13,9
13,12
6,2
19,7
17,9
15,9
12,4
16,15
19,7
10,26
15,4
19,8
19,11
6,16
22,10
13,19
18,10
3,21
